SDATE	station	IDEPTH	Chl_a_ugl	Comment_txt	sampling_method	year	week	source
1/22/2003	B1	0-20	0.21		hose	2003	4	Helena Höglander
2/18/2003	B1	0-20	0.28		hose	2003	8	Helena Höglander
3/10/2003	B1	0-20	1.47		hose	2003	11	Helena Höglander
3/25/2003	B1	0-20	6.37		hose	2003	13	Helena Höglander
4/1/2003	B1	0-20	4.22		hose	2003	14	Helena Höglander
4/8/2003	B1	0-20	5.65		hose	2003	15	Helena Höglander
4/15/2003	B1	0-20	1.94		hose	2003	16	Helena Höglander
4/22/2003	B1	0-20	0.82		hose	2003	17	Helena Höglander
5/7/2003	B1	0-20	1.29		hose	2003	19	Helena Höglander
5/20/2003	B1	0-20	0.6		hose	2003	21	Helena Höglander
6/3/2003	B1	0-20	0.71		hose	2003	23	Helena Höglander
6/17/2003	B1	0-20	0.58		hose	2003	25	Helena Höglander
7/1/2003	B1	0-20	2.42		hose	2003	27	Helena Höglander
7/15/2003	B1	0-20	1.61		hose	2003	29	Helena Höglander
7/29/2003	B1	0-20	2.08		hose	2003	31	Helena Höglander
8/12/2003	B1	0-20	2.95		hose	2003	33	Helena Höglander
8/26/2003	B1	0-20	1.61		hose	2003	35	Helena Höglander
9/9/2003	B1	0-20	1.8		hose	2003	37	Helena Höglander
9/29/2003	B1	0-20	0.77		hose	2003	40	Helena Höglander
10/9/2003	B1	0-20	2.6		hose	2003	41	Helena Höglander
10/21/2003	B1	0-20	1.75		hose	2003	43	Helena Höglander
11/11/2003	B1	0-20	0.95		hose	2003	46	Helena Höglander
12/16/2003	B1	0-20	0.35		hose	2003	51	Helena Höglander
1/29/2004	B1	0-20	0.31		hose	2004	5	Helena Höglander
2/17/2004	B1	0-20	0.37		hose	2004	8	Helena Höglander
3/9/2004	B1	0-20	0.68		hose	2004	11	Helena Höglander
3/23/2004	B1	0-20	2.13		hose	2004	13	Helena Höglander
4/1/2004	B1	0-20	5.97		hose	2004	14	Helena Höglander
4/5/2004	B1	0-20	4.66		hose	2004	15	Helena Höglander
4/13/2004	B1	0-20	1.68		hose	2004	16	Helena Höglander
4/22/2004	B1	0-20	2.63		hose	2004	17	Helena Höglander
5/3/2004	B1	0-20	2.04		hose	2004	19	Helena Höglander
5/25/2004	B1	0-20	1.69		hose	2004	22	Helena Höglander
6/1/2004	B1	0-20	1.43		hose	2004	23	Helena Höglander
6/15/2004	B1	0-20	1.48		hose	2004	25	Helena Höglander
6/29/2004	B1	0-20	2.39		hose	2004	27	Helena Höglander
